7zip 26.02-1
aalib 1.4rc5-19
abseil-cpp 20260526.0-2
accountsservice 26.27.3-1
acl 2.4.0-1
acpid 2.0.34-2
adw-gtk-theme 6.5-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.6.8-1
alsa-lib 1.2.16.1-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
alsa-utils 1.2.16-1
aom 3.14.1-1
appstream 1.1.5-1
archlinux-appstream-data 20260722-1
archlinux-keyring 20260727-1
at-spi2-core 2.60.5-1
attr 2.6.0-1
audit 4.1.4-2
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1
base 3-3
base-devel 1-2
bash 5.3.15-1
binutils 2.47-1
bison 3.8.2-8
bluez-libs 5.87-2
boost-libs 1.91.0-2
breeze-icons 6.28.0-1
brltty 6.9.1-3
brotli 1.2.0-1
bubblewrap 0.11.2-1
bzip2 1.0.8-6
c-ares 1.34.8-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.126-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
capstone 5.0.9-1
cdparanoia 10.2-10
clamav 1.5.3-1
composefs 1.0.8-1
coreutils 9.11-2
cosmic-app-library 1:1.4.0-1
cosmic-applets 1:1.4.0-1
cosmic-bg 1:1.4.0-1
cosmic-comp 1:1.4.0-1
cosmic-files 1:1.4.0-1
cosmic-greeter 1:1.4.0-1
cosmic-icon-theme 1:1.4.0-1
cosmic-idle 1:1.4.0-1
cosmic-initial-setup 1:1.4.0-1
cosmic-launcher 1:1.4.0-1
cosmic-monitor 1:1.4.0-1
cosmic-notifications 1:1.4.0-1
cosmic-osd 1:1.4.0-1
cosmic-panel 1:1.4.0-1
cosmic-player 1:1.4.0-1
cosmic-randr 1:1.4.0-1
cosmic-screenshot 1:1.4.0-1
cosmic-session 1:1.4.0-1
cosmic-settings 1:1.4.0-1
cosmic-settings-daemon 1:1.4.0-2
cosmic-sound-theme 1.4.0-1
cosmic-store 1:1.4.0-1
cosmic-terminal 1:1.4.0-1
cosmic-text-editor 1:1.4.0-1
cosmic-wallpapers 2:1.4.0-1
cosmic-workspaces 2:1.4.0-1
cpio 2.15-3
cryptsetup 2.8.7-1
curl 8.21.0-1
dav1d 1.5.4-1
